link_id,scenario,tx_power_dbm,rx_sensitivity_dbm,system_margin_db,fiber_length_km,fiber_att_db_per_km,n_splice,splice_loss_db,n_connector,connector_loss_db,splitter_loss_db,other_loss_db
link_00329,base,8,-27,5,24.25,0.2,8,0.137,2,0.342,1.0,1.25
link_00330,base,8,-29,5,34.96,0.2,11,0.137,4,0.241,1.0,0.86
link_00331,base,8,-28,4,39.51,0.3,13,0.128,8,0.3,1.0,0.78
link_00332,base,8,-29,3,4.2,0.3,1,0.108,4,0.347,0.5,0.32
link_00333,base,8,-20,5,18.48,0.5,6,0.088,2,0.36,1.5,2.38
link_00334,base,4,-27,2,35.9,0.3,11,0.073,6,0.294,0.5,0.96
link_00335,base,4,-27,2,24.37,0.4,8,0.145,8,0.418,1.5,1.08
link_00336,base,4,-29,5,28.1,0.4,9,0.125,4,0.484,2.0,0.05
link_00337,base,4,-28,2,10.52,0.3,3,0.062,2,0.313,1.5,1.93
link_00338,base,2,-27,2,25.68,0.2,8,0.119,8,0.333,0.5,1.37
link_00339,base,4,-28,2,20.03,0.4,6,0.092,2,0.399,1.5,1.56
link_00340,base,8,-27,2,28.63,0.4,9,0.061,2,0.349,1.0,1.94
link_00341,base,4,-29,5,33.6,0.4,11,0.066,8,0.473,2.0,0.83
link_00342,base,2,-27,5,2.1,0.3,1,0.145,2,0.417,0.5,2.26
link_00343,base,8,-29,4,26.48,0.5,8,0.055,4,0.462,1.5,0.9
link_00344,base,8,-27,2,27.72,0.2,9,0.051,4,0.399,1.0,0.82
link_00345,base,6,-27,4,35.99,0.4,11,0.068,8,0.32,2.0,0.68
link_00346,base,8,-20,3,16.66,0.2,5,0.063,2,0.494,1.0,0.26
link_00347,base,8,-20,3,36.63,0.5,12,0.128,2,0.459,1.0,1.21
link_00348,base,8,-20,2,20.55,0.2,6,0.076,6,0.204,1.0,2.44
link_00349,base,6,-27,5,27.45,0.3,9,0.098,8,0.245,0.5,0.03
link_00350,base,8,-20,3,37.51,0.2,12,0.125,6,0.272,1.5,0.13
link_00351,base,8,-20,3,10.46,0.2,3,0.096,8,0.226,2.0,1.12
link_00352,base,8,-27,2,6.51,0.5,2,0.091,2,0.448,1.5,2.23
link_00353,base,8,-29,4,23.37,0.2,7,0.132,8,0.3,2.0,1.79
link_00354,base,8,-27,2,15.81,0.3,5,0.05,6,0.449,1.5,1.37
link_00355,base,2,-27,3,16.21,0.5,5,0.064,8,0.232,1.0,0.47
link_00356,base,8,-28,5,37.35,0.3,12,0.122,2,0.427,0.5,2.32
link_00357,base,2,-20,5,33.82,0.3,11,0.146,2,0.359,0.5,1.38
link_00358,base,8,-28,3,18.45,0.3,6,0.06,6,0.351,2.0,1.05
link_00359,base,4,-29,5,25.14,0.4,8,0.147,8,0.441,1.0,1.03
link_00360,base,6,-29,3,28.6,0.3,9,0.071,6,0.406,1.0,2.45
link_00361,base,4,-29,2,26.7,0.4,8,0.106,8,0.402,1.5,2.19
link_00362,base,2,-27,2,18.05,0.5,6,0.065,2,0.26,1.0,2.46
link_00363,base,4,-27,4,27.97,0.3,9,0.125,2,0.308,2.0,0.26
link_00364,base,4,-20,3,34.99,0.4,11,0.119,2,0.478,2.0,1.04
link_00365,base,6,-27,2,31.95,0.4,10,0.07,8,0.449,1.5,1.89
link_00366,base,4,-28,4,22.77,0.5,7,0.068,2,0.256,1.0,1.84
link_00367,base,2,-20,4,6.54,0.4,2,0.063,6,0.202,2.0,1.77
link_00368,base,4,-29,2,7.88,0.4,2,0.099,6,0.222,1.5,1.31
link_00369,base,2,-28,5,38.37,0.5,12,0.059,4,0.465,1.5,0.83
link_00370,base,8,-27,2,13.16,0.4,4,0.095,4,0.488,1.5,0.95
link_00371,base,2,-20,4,32.26,0.4,10,0.052,6,0.354,2.0,1.22
link_00372,base,4,-29,2,13.26,0.2,4,0.067,2,0.388,1.0,1.68
link_00373,base,8,-27,3,31.4,0.5,10,0.115,2,0.424,1.0,0.06
link_00374,base,2,-27,2,29.24,0.2,9,0.068,6,0.367,1.0,2.28
link_00375,base,8,-20,5,17.49,0.4,5,0.052,2,0.36,0.5,1.89
link_00376,base,2,-29,2,24.25,0.4,8,0.129,6,0.382,1.5,1.91
link_00377,base,8,-27,5,18.63,0.3,6,0.103,4,0.424,1.5,2.4
link_00378,base,6,-27,3,7.47,0.2,2,0.054,8,0.361,0.5,0.76
link_00379,base,6,-28,5,30.44,0.3,10,0.066,4,0.385,1.5,0.49
link_00380,base,2,-20,2,8.89,0.4,2,0.117,6,0.229,2.0,2.38
link_00381,base,4,-27,4,15.57,0.2,5,0.14,6,0.346,1.5,1.54
link_00382,base,4,-29,4,13.62,0.5,4,0.067,6,0.274,1.0,1.78
link_00383,base,6,-29,3,26.35,0.4,8,0.138,8,0.334,1.5,1.22
link_00384,base,2,-29,3,6.14,0.3,2,0.076,2,0.418,0.5,2.12
link_00385,base,8,-28,2,26.0,0.4,8,0.104,8,0.396,1.0,0.91
link_00386,base,6,-28,5,10.49,0.2,3,0.09,2,0.399,1.0,1.89
link_00387,base,4,-28,3,7.33,0.5,2,0.144,2,0.266,2.0,0.58
link_00388,base,4,-27,3,12.05,0.4,4,0.089,8,0.464,0.5,2.45
link_00389,base,6,-29,3,14.31,0.5,4,0.115,6,0.376,0.5,1.29
link_00390,base,4,-20,4,16.3,0.4,5,0.099,8,0.466,0.5,1.25
link_00391,base,4,-28,2,7.28,0.4,2,0.071,4,0.247,0.5,1.65
link_00392,base,6,-27,5,17.76,0.5,5,0.098,4,0.394,2.0,0.06
link_00393,base,4,-28,2,3.64,0.3,1,0.056,6,0.477,2.0,1.5
link_00394,base,2,-29,2,23.42,0.3,7,0.095,8,0.46,1.0,0.55
link_00395,base,4,-28,4,17.61,0.3,5,0.122,6,0.477,0.5,0.57
link_00396,base,2,-27,3,16.65,0.5,5,0.133,2,0.253,0.5,2.19
link_00397,base,2,-27,5,22.19,0.3,7,0.14,2,0.469,2.0,1.31
link_00398,base,2,-20,3,16.07,0.5,5,0.129,8,0.305,0.5,1.06
link_00399,base,4,-27,4,11.67,0.5,3,0.076,2,0.413,0.5,1.44
link_00400,base,2,-20,3,6.48,0.4,2,0.091,2,0.246,1.5,0.65
link_00401,base,6,-29,5,22.37,0.3,7,0.091,8,0.254,2.0,0.63
link_00402,base,6,-20,3,13.65,0.2,4,0.125,8,0.435,1.0,0.25
link_00403,base,6,-27,3,21.32,0.5,7,0.146,2,0.441,1.0,1.18
link_00404,base,2,-27,4,24.81,0.3,8,0.087,2,0.417,2.0,1.53
link_00405,base,2,-28,5,21.8,0.5,7,0.051,6,0.258,1.0,1.54
link_00406,base,6,-28,2,27.61,0.3,9,0.059,6,0.434,1.5,1.67
link_00407,base,4,-27,2,17.41,0.2,5,0.105,6,0.304,1.5,0.57
link_00408,base,8,-20,2,38.6,0.4,12,0.068,2,0.368,1.5,0.85
link_00409,base,6,-29,5,6.45,0.5,2,0.106,4,0.427,2.0,1.7
link_00410,base,2,-20,2,36.07,0.4,12,0.057,4,0.403,1.0,2.0
link_00411,base,6,-27,4,17.67,0.3,5,0.079,8,0.402,1.5,0.19
link_00412,base,8,-29,4,37.39,0.3,12,0.139,6,0.255,1.0,1.25
link_00413,base,4,-29,3,9.59,0.3,3,0.07,4,0.451,1.5,0.39
link_00414,base,2,-20,2,6.05,0.2,2,0.135,6,0.386,2.0,2.25
link_00415,base,6,-20,3,35.48,0.4,11,0.09,4,0.216,2.0,1.2
link_00416,base,6,-20,3,22.55,0.5,7,0.148,8,0.295,0.5,0.03
link_00417,base,2,-29,4,10.01,0.4,3,0.069,6,0.271,2.0,2.4
link_00418,base,4,-20,5,15.04,0.3,5,0.092,6,0.31,2.0,0.7
link_00419,base,4,-28,2,8.84,0.4,2,0.13,8,0.457,1.0,0.36
link_00420,base,4,-20,2,38.45,0.3,12,0.092,4,0.499,1.5,1.96
link_00421,base,2,-20,2,13.4,0.3,4,0.056,6,0.343,0.5,1.12
link_00422,base,6,-29,4,14.72,0.4,4,0.052,2,0.305,1.0,1.44
link_00423,base,4,-29,4,26.69,0.4,8,0.117,8,0.432,2.0,2.22
link_00424,base,6,-20,3,16.48,0.3,5,0.114,6,0.327,2.0,2.12
link_00425,base,4,-29,3,4.71,0.4,1,0.082,6,0.413,2.0,0.68
link_00426,base,6,-20,5,18.91,0.3,6,0.068,2,0.238,1.0,1.66
link_00427,base,2,-28,3,37.74,0.5,12,0.06,2,0.481,2.0,1.37
link_00428,base,8,-27,2,3.0,0.4,1,0.112,2,0.396,2.0,0.77
link_00429,base,6,-20,3,11.4,0.3,3,0.103,4,0.209,1.5,2.15
link_00430,base,8,-20,4,14.36,0.5,4,0.064,4,0.377,2.0,1.58
link_00431,base,8,-29,4,26.16,0.5,8,0.104,2,0.333,1.5,1.03
link_00432,base,2,-27,3,7.92,0.4,2,0.079,2,0.406,2.0,2.37
link_00433,base,2,-20,4,20.13,0.3,6,0.13,6,0.257,2.0,0.99
link_00434,base,8,-20,3,8.2,0.4,2,0.058,4,0.355,1.5,0.71
link_00435,base,6,-20,3,30.23,0.2,10,0.068,6,0.233,2.0,1.54
link_00436,base,8,-28,4,12.34,0.2,4,0.065,2,0.256,0.5,0.71
link_00437,base,8,-27,3,6.75,0.2,2,0.065,8,0.265,2.0,0.78
link_00438,base,6,-20,2,32.38,0.4,10,0.058,4,0.217,2.0,0.18
link_00439,base,4,-29,5,19.87,0.2,6,0.062,4,0.315,2.0,0.62
link_00440,base,4,-20,2,39.79,0.3,13,0.097,6,0.481,1.0,1.57
link_00441,base,2,-29,5,3.6,0.4,1,0.07,2,0.459,1.0,2.43
link_00442,base,8,-29,2,10.97,0.3,3,0.129,2,0.319,1.0,0.02
link_00443,base,8,-28,4,3.6,0.2,1,0.075,8,0.227,1.5,2.33
link_00444,base,2,-27,4,39.88,0.3,13,0.12,2,0.238,1.0,0.79
link_00445,base,6,-20,3,23.22,0.2,7,0.119,6,0.417,1.5,2.25
link_00446,base,8,-29,5,20.44,0.3,6,0.107,6,0.297,2.0,0.69
link_00447,base,4,-27,3,33.59,0.5,11,0.08,6,0.362,2.0,0.0
link_00448,base,8,-28,2,26.24,0.4,8,0.128,4,0.296,0.5,1.65
link_00449,base,8,-28,5,22.48,0.3,7,0.111,6,0.323,1.5,0.28
link_00450,base,2,-27,3,21.88,0.3,7,0.137,4,0.232,1.0,0.25
link_00451,base,8,-20,4,23.7,0.2,7,0.087,2,0.204,1.0,1.64
link_00452,base,2,-20,2,37.28,0.4,12,0.106,8,0.447,0.5,2.06
link_00453,base,2,-27,4,12.1,0.2,4,0.144,2,0.23,1.0,1.33
link_00454,base,4,-28,5,9.2,0.2,3,0.127,6,0.402,2.0,2.21
link_00455,base,4,-20,4,8.34,0.3,2,0.103,8,0.48,1.5,1.38
link_00456,base,6,-20,5,39.88,0.4,13,0.111,4,0.313,1.5,0.9
link_00457,base,8,-27,2,19.19,0.4,6,0.11,4,0.498,1.5,0.02
link_00458,base,4,-29,2,39.41,0.4,13,0.142,4,0.228,2.0,0.89
link_00459,base,6,-28,3,7.26,0.4,2,0.131,2,0.371,1.0,1.84
link_00460,base,8,-28,5,29.5,0.2,9,0.11,6,0.211,2.0,0.2
link_00461,base,6,-29,5,4.13,0.5,1,0.143,2,0.461,1.0,1.87
link_00462,base,2,-20,2,34.28,0.4,11,0.102,6,0.362,1.0,0.82
link_00463,base,4,-27,5,28.52,0.5,9,0.125,2,0.267,1.5,1.97
link_00464,base,6,-27,5,7.62,0.2,2,0.105,6,0.226,2.0,1.93
link_00465,base,4,-20,3,6.95,0.5,2,0.09,4,0.368,1.0,0.61
link_00466,base,8,-29,2,12.12,0.2,4,0.117,8,0.31,1.0,0.8
link_00467,base,2,-29,3,24.57,0.4,8,0.112,8,0.387,2.0,0.11
link_00468,base,4,-29,3,33.09,0.2,11,0.061,2,0.273,1.0,2.17
link_00469,base,2,-29,2,33.17,0.4,11,0.095,2,0.3,1.0,0.51
link_00470,base,6,-20,3,21.88,0.2,7,0.088,2,0.277,0.5,0.71
link_00471,base,6,-27,5,31.99,0.2,10,0.057,6,0.399,1.5,2.16
link_00472,base,8,-28,5,2.72,0.2,1,0.14,8,0.46,0.5,0.47
link_00473,base,8,-27,2,21.02,0.3,7,0.142,6,0.3,2.0,1.86
link_00474,base,6,-29,4,2.7,0.3,1,0.15,6,0.444,1.5,2.2
link_00475,base,2,-29,3,35.84,0.3,11,0.084,8,0.397,0.5,1.82
link_00476,base,4,-20,3,21.79,0.3,7,0.093,6,0.473,1.5,1.12
link_00477,base,4,-28,3,7.01,0.4,2,0.119,4,0.329,1.0,1.64
link_00478,base,4,-29,2,23.46,0.2,7,0.068,4,0.418,1.5,2.2
link_00479,base,8,-29,5,17.73,0.4,5,0.065,4,0.232,1.0,0.07
link_00480,base,6,-28,3,39.47,0.3,13,0.119,6,0.224,2.0,0.34
link_00481,base,8,-29,3,34.15,0.5,11,0.099,4,0.249,1.0,0.08
link_00482,base,2,-29,5,31.05,0.3,10,0.124,4,0.427,0.5,0.44
link_00483,base,8,-20,4,38.28,0.5,12,0.139,8,0.321,0.5,1.52
link_00484,base,6,-20,2,33.32,0.2,11,0.095,2,0.463,1.0,1.3
link_00485,base,2,-20,2,17.03,0.3,5,0.079,8,0.465,1.5,1.15
link_00486,base,2,-28,5,18.05,0.5,6,0.059,2,0.254,1.0,0.98
link_00487,base,2,-28,5,14.29,0.3,4,0.138,2,0.275,1.0,1.8
link_00488,base,2,-20,4,6.69,0.2,2,0.102,8,0.418,1.0,0.95
link_00489,base,4,-29,3,16.46,0.3,5,0.137,4,0.431,0.5,1.05
link_00490,base,8,-29,3,13.76,0.2,4,0.14,4,0.201,1.5,0.03
link_00491,base,8,-27,5,20.91,0.3,6,0.072,8,0.336,2.0,0.2
link_00492,base,4,-29,3,24.8,0.2,8,0.068,2,0.396,0.5,0.36
link_00493,base,6,-29,2,3.23,0.2,1,0.061,4,0.248,1.5,1.53
link_00494,base,4,-20,4,28.28,0.2,9,0.059,6,0.297,2.0,2.05
link_00495,base,2,-29,5,30.82,0.3,10,0.062,6,0.299,2.0,1.31
link_00496,base,2,-27,2,28.44,0.5,9,0.122,6,0.328,1.5,0.65
link_00497,base,6,-28,5,23.86,0.5,7,0.099,4,0.465,1.0,1.77
link_00498,base,2,-27,2,39.21,0.5,13,0.113,2,0.421,1.0,2.0
link_00499,base,8,-27,4,39.96,0.4,13,0.106,4,0.203,1.0,1.73
link_00500,base,2,-29,4,11.67,0.4,3,0.127,2,0.406,1.5,0.99
link_00501,base,2,-28,3,23.62,0.4,7,0.133,8,0.475,0.5,1.61
link_00502,base,8,-29,5,20.3,0.5,6,0.143,2,0.451,1.5,1.41
link_00503,base,2,-28,4,27.77,0.4,9,0.057,4,0.284,0.5,0.85
link_00504,base,4,-20,3,16.26,0.2,5,0.136,6,0.412,1.5,1.77
link_00505,base,2,-20,3,12.32,0.4,4,0.095,6,0.265,1.5,0.44
link_00506,base,2,-28,2,16.22,0.5,5,0.101,8,0.471,1.0,0.48
link_00507,base,6,-29,3,37.1,0.2,12,0.132,4,0.262,0.5,1.15
link_00508,base,2,-27,4,29.12,0.2,9,0.119,2,0.3,0.5,0.26
link_00509,base,6,-27,4,31.11,0.3,10,0.082,4,0.286,1.5,1.93
link_00510,base,6,-28,3,27.5,0.4,9,0.061,2,0.262,1.5,1.37
link_00511,base,6,-28,3,12.3,0.2,4,0.081,6,0.362,0.5,0.33
link_00512,base,2,-27,5,19.89,0.2,6,0.059,8,0.254,2.0,1.54
link_00513,base,4,-27,5,13.87,0.3,4,0.059,8,0.229,1.5,1.71
link_00514,base,8,-20,3,28.99,0.3,9,0.064,6,0.474,2.0,0.46
link_00515,base,6,-29,5,36.86,0.5,12,0.053,8,0.234,2.0,1.15
link_00516,base,6,-28,2,8.49,0.5,2,0.132,2,0.298,0.5,1.98
link_00517,base,8,-20,3,22.24,0.3,7,0.105,8,0.315,1.5,0.52
link_00518,base,8,-20,4,28.37,0.3,9,0.067,2,0.422,2.0,0.29
link_00519,base,6,-27,5,24.65,0.3,8,0.081,8,0.221,0.5,1.71
link_00520,base,8,-29,5,24.66,0.2,8,0.059,4,0.466,0.5,1.89
link_00521,base,8,-29,5,27.11,0.5,9,0.07,6,0.29,1.5,2.3
link_00522,base,6,-27,2,37.59,0.5,12,0.135,6,0.219,0.5,0.0
link_00523,base,6,-27,4,23.28,0.2,7,0.074,8,0.388,2.0,1.02
link_00524,base,4,-28,5,18.54,0.3,6,0.069,8,0.453,1.5,2.1
link_00525,base,4,-28,2,7.86,0.2,2,0.115,4,0.416,2.0,1.64
link_00526,base,4,-27,3,39.05,0.5,13,0.136,8,0.387,2.0,1.27
link_00527,base,8,-20,4,22.98,0.3,7,0.069,2,0.373,1.0,1.78
link_00528,base,6,-27,2,12.23,0.5,4,0.12,2,0.374,0.5,0.36
link_00529,base,6,-20,2,29.79,0.2,9,0.075,2,0.405,1.5,1.53
link_00530,base,2,-20,5,36.34,0.5,12,0.107,6,0.326,1.5,0.72
link_00531,base,6,-29,2,3.34,0.5,1,0.108,2,0.397,1.5,2.02
link_00532,base,6,-20,2,25.72,0.3,8,0.101,6,0.276,1.5,0.69
link_00533,base,2,-28,3,11.76,0.5,3,0.087,4,0.278,1.0,1.21
link_00534,base,2,-29,2,32.38,0.3,10,0.11,4,0.451,2.0,1.93
link_00535,base,8,-28,3,11.04,0.4,3,0.055,6,0.427,0.5,0.13
link_00536,base,8,-29,5,19.63,0.3,6,0.088,8,0.342,1.0,1.33
link_00537,base,6,-20,5,18.52,0.4,6,0.146,2,0.229,1.5,2.39
link_00538,base,6,-29,4,18.41,0.4,6,0.13,6,0.396,2.0,1.15
link_00539,base,4,-28,4,27.66,0.3,9,0.081,2,0.402,0.5,0.03
link_00540,base,2,-20,4,5.71,0.3,1,0.123,6,0.258,0.5,1.55
link_00541,base,4,-27,2,4.16,0.2,1,0.136,4,0.313,1.0,2.24
link_00542,base,6,-29,5,28.43,0.2,9,0.114,6,0.431,1.5,0.64
link_00543,base,6,-27,5,31.67,0.5,10,0.083,2,0.277,1.5,0.44
link_00544,base,4,-20,3,4.64,0.5,1,0.061,8,0.266,0.5,2.28
link_00545,base,2,-27,2,29.19,0.2,9,0.107,6,0.433,0.5,2.24
link_00546,base,2,-27,5,7.66,0.4,2,0.065,6,0.471,0.5,1.29
link_00547,base,8,-20,5,37.72,0.5,12,0.134,2,0.362,0.5,0.96
link_00548,base,8,-27,4,28.19,0.4,9,0.118,8,0.217,0.5,0.91
link_00549,base,6,-27,5,34.43,0.4,11,0.115,4,0.366,2.0,1.65
link_00550,base,8,-27,4,13.36,0.5,4,0.058,8,0.421,1.0,0.09
link_00551,base,4,-20,5,2.96,0.2,1,0.129,6,0.35,2.0,2.42
link_00552,base,6,-27,4,2.62,0.2,1,0.091,4,0.442,2.0,2.35
link_00553,base,4,-28,2,35.07,0.2,11,0.124,8,0.396,2.0,2.27
link_00554,base,4,-28,2,25.5,0.3,8,0.113,6,0.446,0.5,1.14
link_00555,base,2,-27,2,8.49,0.5,2,0.109,4,0.219,1.0,1.07
link_00556,base,8,-29,2,32.84,0.3,10,0.082,4,0.429,1.0,0.84
link_00557,base,4,-20,3,6.59,0.4,2,0.105,8,0.273,0.5,0.33
link_00558,base,8,-28,2,32.06,0.5,10,0.058,2,0.254,0.5,1.77
link_00559,base,6,-20,5,24.56,0.3,8,0.071,6,0.357,2.0,0.6
link_00560,base,2,-28,5,8.63,0.2,2,0.113,6,0.304,0.5,1.39
link_00561,base,2,-29,3,9.29,0.5,3,0.127,4,0.283,1.0,0.28
link_00562,base,8,-20,3,7.67,0.3,2,0.117,2,0.216,1.5,0.71
link_00563,base,6,-20,2,18.52,0.2,6,0.124,4,0.247,0.5,1.21
link_00564,base,4,-20,4,6.41,0.5,2,0.07,6,0.269,0.5,0.82
link_00565,base,8,-28,5,5.73,0.3,1,0.057,8,0.216,2.0,0.36
link_00566,base,8,-28,5,37.26,0.4,12,0.064,4,0.39,1.5,0.51
link_00567,base,2,-29,3,6.83,0.2,2,0.135,8,0.325,1.5,0.55
link_00568,base,4,-28,3,13.22,0.2,4,0.091,8,0.459,1.0,1.48
link_00569,base,6,-27,5,33.81,0.3,11,0.075,8,0.374,1.0,2.28
link_00570,base,8,-27,2,36.13,0.5,12,0.123,2,0.328,2.0,1.2
link_00571,base,2,-20,5,32.32,0.3,10,0.058,2,0.408,2.0,2.37
link_00572,base,6,-28,2,7.04,0.2,2,0.098,6,0.249,2.0,2.14
link_00573,base,2,-20,5,30.4,0.3,10,0.137,8,0.255,1.5,1.57
link_00574,base,2,-27,5,28.75,0.4,9,0.103,6,0.328,1.5,1.75
link_00575,base,4,-27,4,25.28,0.2,8,0.101,6,0.466,0.5,0.96
link_00576,base,2,-29,4,19.68,0.3,6,0.115,2,0.368,1.0,0.35
link_00577,base,2,-20,3,14.73,0.3,4,0.082,6,0.351,2.0,0.69
link_00578,base,6,-20,5,4.41,0.2,1,0.097,6,0.336,1.5,2.0
link_00579,base,2,-28,5,37.92,0.2,12,0.058,4,0.287,0.5,0.27
link_00580,base,4,-20,3,12.49,0.3,4,0.102,2,0.288,1.0,1.18
link_00581,base,2,-29,3,17.96,0.2,5,0.052,4,0.45,1.5,1.03
link_00582,base,6,-20,5,15.03,0.5,5,0.08,4,0.469,1.5,0.43
link_00583,base,8,-29,4,11.88,0.2,3,0.065,6,0.337,1.0,1.55
link_00584,base,6,-28,3,8.11,0.3,2,0.066,2,0.212,1.5,1.44
link_00585,base,6,-28,3,18.75,0.2,6,0.117,6,0.244,2.0,1.35
link_00586,base,6,-27,2,8.18,0.5,2,0.143,4,0.484,1.5,0.39
link_00587,base,6,-29,5,38.87,0.4,12,0.147,4,0.44,2.0,0.85
link_00588,base,8,-27,3,6.27,0.2,2,0.081,8,0.385,1.0,1.11
link_00589,base,2,-28,3,5.51,0.4,1,0.07,2,0.362,2.0,1.69
link_00590,base,8,-28,5,38.39,0.4,12,0.11,2,0.473,1.5,0.99
link_00591,base,8,-29,5,29.21,0.4,9,0.051,6,0.305,2.0,2.19
link_00592,base,8,-20,5,5.33,0.4,1,0.066,8,0.419,2.0,0.35
link_00593,base,2,-28,3,24.31,0.4,8,0.097,6,0.22,2.0,0.22
link_00594,base,6,-20,3,17.56,0.5,5,0.121,4,0.26,2.0,0.72
link_00595,base,6,-29,5,20.64,0.5,6,0.072,2,0.246,1.5,2.39
link_00596,base,8,-27,4,33.7,0.5,11,0.068,4,0.209,1.5,1.23
link_00597,base,6,-20,5,38.88,0.4,12,0.113,8,0.492,0.5,0.93
link_00598,base,2,-29,3,29.85,0.2,9,0.065,8,0.463,1.0,0.89
link_00599,base,6,-20,4,4.01,0.2,1,0.079,2,0.354,1.0,1.91
link_00600,base,4,-29,4,24.75,0.4,8,0.077,6,0.229,1.5,2.06
link_00601,base,6,-29,5,2.49,0.5,1,0.084,4,0.231,1.0,1.26
link_00602,base,2,-20,5,33.6,0.2,11,0.062,4,0.477,2.0,0.87
link_00603,base,4,-20,4,28.26,0.3,9,0.121,2,0.423,0.5,0.56
link_00604,base,4,-28,4,34.56,0.3,11,0.071,2,0.327,0.5,0.19
link_00605,base,8,-27,3,31.44,0.2,10,0.053,2,0.341,1.5,0.11
link_00606,base,2,-27,2,13.46,0.3,4,0.109,4,0.255,1.5,0.07
link_00607,base,6,-29,4,7.53,0.3,2,0.136,4,0.351,0.5,0.25
link_00608,base,2,-28,3,23.97,0.4,7,0.067,2,0.492,0.5,2.31
link_00609,base,8,-29,3,36.98,0.5,12,0.117,2,0.254,1.5,2.45
link_00610,base,4,-20,2,18.12,0.4,6,0.062,2,0.356,2.0,1.91
link_00611,base,2,-27,4,28.78,0.5,9,0.062,6,0.337,1.5,1.72
link_00612,base,4,-20,4,33.96,0.5,11,0.069,2,0.468,2.0,2.35
link_00613,base,2,-20,2,15.96,0.5,5,0.094,2,0.236,2.0,1.0
link_00614,base,2,-28,2,24.44,0.4,8,0.148,6,0.26,2.0,0.31
link_00615,base,8,-29,4,33.85,0.5,11,0.086,8,0.496,1.5,0.37
link_00616,base,2,-29,5,19.28,0.5,6,0.073,4,0.209,0.5,2.08
link_00617,base,2,-28,5,20.93,0.4,6,0.065,2,0.428,2.0,1.98
link_00618,base,8,-20,4,9.67,0.4,3,0.131,2,0.486,0.5,2.48
link_00619,base,2,-20,5,35.44,0.4,11,0.135,8,0.338,0.5,0.44
link_00620,base,6,-28,5,27.06,0.5,9,0.063,8,0.346,0.5,1.42
link_00621,base,8,-20,3,20.64,0.2,6,0.089,8,0.377,2.0,1.54
link_00622,base,6,-29,2,15.41,0.2,5,0.109,4,0.451,1.5,2.02
link_00623,base,6,-20,2,24.19,0.5,8,0.085,6,0.324,0.5,1.65
link_00624,base,6,-27,2,11.41,0.4,3,0.061,4,0.206,1.5,0.09
link_00625,base,8,-20,4,27.0,0.2,9,0.12,2,0.496,2.0,1.43
link_00626,base,2,-20,2,14.25,0.3,4,0.084,6,0.25,1.5,0.91
link_00627,base,8,-27,3,18.57,0.4,6,0.077,6,0.499,2.0,2.01
link_00628,base,2,-27,4,25.73,0.4,8,0.057,8,0.328,1.5,1.99
link_00629,base,6,-29,5,26.76,0.4,8,0.07,8,0.275,2.0,1.68
link_00630,base,2,-28,5,22.81,0.3,7,0.116,8,0.28,2.0,2.34
link_00631,base,2,-28,4,29.61,0.5,9,0.065,4,0.424,1.5,2.11
link_00632,base,2,-28,5,17.59,0.4,5,0.132,4,0.277,1.0,1.01
link_00633,base,4,-27,3,6.32,0.4,2,0.096,8,0.327,0.5,0.5
link_00634,base,2,-29,4,12.36,0.3,4,0.114,2,0.489,2.0,1.96
link_00635,base,2,-29,4,4.1,0.2,1,0.14,8,0.469,0.5,0.99
link_00636,base,4,-28,2,33.91,0.2,11,0.102,6,0.349,0.5,0.6
link_00637,base,6,-29,5,6.65,0.3,2,0.144,4,0.243,1.0,0.54
link_00638,base,8,-29,2,12.43,0.5,4,0.103,2,0.295,2.0,1.19
link_00639,base,6,-28,4,11.36,0.5,3,0.122,6,0.206,0.5,2.1
link_00640,base,2,-28,4,27.16,0.5,9,0.081,6,0.471,0.5,1.34
link_00641,base,8,-20,2,10.98,0.5,3,0.143,6,0.29,1.0,0.74
link_00642,base,4,-20,4,34.66,0.5,11,0.129,6,0.46,2.0,1.18
link_00643,base,6,-20,2,17.69,0.3,5,0.12,2,0.306,1.5,1.13
link_00644,base,2,-28,5,3.04,0.3,1,0.05,4,0.388,1.5,1.44
link_00645,base,4,-28,5,6.21,0.4,2,0.095,4,0.278,1.5,2.0
link_00646,base,8,-29,3,9.55,0.5,3,0.138,4,0.206,0.5,2.31
link_00647,base,4,-27,5,26.59,0.3,8,0.076,4,0.215,2.0,1.5
link_00648,base,6,-28,2,7.67,0.2,2,0.122,8,0.432,2.0,2.07
link_00649,base,4,-28,3,20.78,0.4,6,0.079,8,0.315,2.0,2.14
link_00650,base,6,-28,5,24.8,0.3,8,0.091,4,0.209,1.5,0.59
link_00651,base,4,-29,5,19.14,0.2,6,0.051,4,0.461,2.0,1.72
link_00652,base,8,-29,2,29.11,0.2,9,0.106,2,0.3,1.0,1.18
link_00653,base,2,-27,4,15.46,0.5,5,0.08,8,0.401,1.0,2.42
link_00654,base,4,-29,3,23.26,0.5,7,0.143,8,0.24,1.5,1.78
link_00655,base,6,-27,4,18.45,0.2,6,0.148,8,0.462,1.5,1.87
link_00656,base,6,-29,4,37.2,0.4,12,0.094,4,0.295,2.0,1.91
link_00657,base,8,-27,3,7.75,0.3,2,0.055,4,0.211,1.5,0.41
link_00658,base,2,-20,2,19.75,0.5,6,0.086,8,0.337,0.5,2.11
